City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chililabombwe,ZM,2022-02-05 19:38:03,-12.3648,27.8229,62.42,97,93,3.47,light rain
1,Ushuaia,AR,2022-02-05 19:36:33,-54.8,-68.3,64.02,55,75,24.16,light rain
2,Murgud,IN,2022-02-05 19:38:03,16.4,74.2,63.79,78,37,0.85,scattered clouds
3,Mahebourg,MU,2022-02-05 19:38:04,-20.4081,57.7,80.26,89,75,21.85,broken clouds
4,Kirakira,SB,2022-02-05 19:38:04,-10.4544,161.9205,81.84,83,97,4.81,overcast clouds
5,Sibu,MY,2022-02-05 19:38:05,2.3,111.8167,75.51,100,40,1.99,scattered clouds
6,Flinders,AU,2022-02-05 19:38:05,-34.5833,150.8552,69.39,83,91,5.99,light rain
7,Atuona,PF,2022-02-05 19:38:05,-9.8,-139.0333,78.96,76,6,22.3,clear sky
8,Selma,US,2022-02-05 19:38:06,36.5708,-119.6121,63.03,52,100,2.1,overcast clouds
9,Carnarvon,AU,2022-02-05 19:38:06,-24.8667,113.6333,78.87,89,75,9.22,broken clouds
10,Puttur,IN,2022-02-05 19:38:07,12.7667,75.2167,73.51,95,55,1.95,broken clouds
11,Dicabisagan,PH,2022-02-05 19:38:07,17.0818,122.4157,72.99,89,88,9.26,overcast clouds
12,Punta Arenas,CL,2022-02-05 19:33:40,-53.15,-70.9167,59.11,77,100,21.85,light intensity shower rain
13,Faya,SA,2022-02-05 19:38:08,18.3851,42.4509,55.51,77,8,2.59,clear sky
14,New Norfolk,AU,2022-02-05 19:36:50,-42.7826,147.0587,56.71,67,100,1.68,overcast clouds
15,Rikitea,PF,2022-02-05 19:38:08,-23.1203,-134.9692,78.93,72,99,11.18,overcast clouds
16,Demyansk,RU,2022-02-05 19:38:09,57.643,32.466,21.51,95,100,9.19,snow
17,Fayaoue,NC,2022-02-05 19:38:09,-20.65,166.5333,82.04,79,33,15.23,scattered clouds
18,Mataura,NZ,2022-02-05 19:38:10,-46.1927,168.8643,51.48,94,100,1.05,overcast clouds
19,Archidona,ES,2022-02-05 19:38:10,37.0965,-4.3887,54.23,78,50,4.14,scattered clouds
20,Bluff,NZ,2022-02-05 19:38:10,-46.6,168.3333,51.8,71,72,13.67,broken clouds
21,Saint-Pierre,RE,2022-02-05 19:38:11,-21.3393,55.4781,82.08,69,100,6.91,overcast clouds
22,Cabedelo,BR,2022-02-05 19:38:11,-6.9811,-34.8339,86.67,67,7,11.43,clear sky
23,Saskylakh,RU,2022-02-05 19:38:12,71.9167,114.0833,-26.48,100,98,3.09,overcast clouds
24,Bairiki,KI,2022-02-05 19:38:12,1.3292,172.9752,82.4,78,40,9.22,scattered clouds
25,Tabuk,PH,2022-02-05 19:38:13,17.4189,121.4443,69.04,90,99,4.18,overcast clouds
26,Maldonado,UY,2022-02-05 19:34:26,-34.6667,-54.9167,76.39,70,55,14.67,broken clouds
27,Yellowknife,CA,2022-02-05 19:38:13,62.456,-114.3525,-9.58,89,75,6.91,light snow
28,Hamilton,US,2022-02-05 19:38:13,39.1834,-84.5333,27.09,71,0,1.99,snow
29,San Patricio,US,2022-02-05 19:38:14,28.017,-97.5169,52.21,28,0,4.63,clear sky
30,Bandrele,YT,2022-02-05 19:38:14,-12.9067,45.1914,83.95,79,75,11.5,broken clouds
31,Cape Town,ZA,2022-02-05 19:37:03,-33.9258,18.4232,72.88,60,0,1.99,clear sky
32,Evensk,RU,2022-02-05 19:38:15,61.95,159.2333,16.03,41,11,22.32,few clouds
33,Ukiah,US,2022-02-05 19:38:16,39.1502,-123.2078,69.37,51,0,0.0,clear sky
34,Visconde Do Rio Branco,BR,2022-02-05 19:38:16,-21.0103,-42.8406,79.81,86,96,4.36,very heavy rain
35,Iqaluit,CA,2022-02-05 19:38:16,63.7506,-68.5145,-25.87,62,75,0.0,broken clouds
36,Mitu,CO,2022-02-05 19:38:17,1.1983,-70.1733,79.41,85,79,3.11,broken clouds
37,Khatanga,RU,2022-02-05 19:38:17,71.9667,102.5,-31.04,99,99,2.86,overcast clouds
38,Mar Del Plata,AR,2022-02-05 19:35:31,-38.0023,-57.5575,64.09,97,100,10.0,moderate rain
39,Praia Da Vitoria,PT,2022-02-05 19:38:18,38.7333,-27.0667,59.25,88,40,15.52,scattered clouds
40,Bahir Dar,ET,2022-02-05 19:38:18,11.5936,37.3908,65.61,57,90,7.49,light rain
41,Kodiak,US,2022-02-05 19:38:18,57.79,-152.4072,33.31,86,100,0.0,overcast clouds
42,Codrington,AU,2022-02-05 19:38:19,-38.2667,141.9667,55.38,89,55,8.95,broken clouds
43,Busselton,AU,2022-02-05 19:38:19,-33.65,115.3333,65.05,87,12,5.91,few clouds
44,Karatau,KZ,2022-02-05 19:38:20,43.1667,70.4667,33.58,53,100,2.95,overcast clouds
45,Inirida,CO,2022-02-05 19:38:20,3.8653,-67.9239,82.27,75,97,4.41,overcast clouds
46,Puerto Ayora,EC,2022-02-05 19:38:21,-0.7393,-90.3518,82.36,85,85,7.0,overcast clouds
47,Port Alfred,ZA,2022-02-05 19:38:21,-33.5906,26.891,70.48,83,93,25.52,light rain
48,Yar-Sale,RU,2022-02-05 19:38:21,66.8333,70.8333,-12.44,100,77,3.27,broken clouds
49,Tasiilaq,GL,2022-02-05 19:37:01,65.6145,-37.6368,23.16,57,99,9.55,overcast clouds
50,Kavieng,PG,2022-02-05 19:38:22,-2.5744,150.7967,81.14,78,38,6.06,scattered clouds
51,Santa Maria,BR,2022-02-05 19:38:19,-29.6842,-53.8069,78.1,83,20,3.44,few clouds
52,Qaanaaq,GL,2022-02-05 19:38:22,77.484,-69.3632,1.02,88,100,3.65,overcast clouds
53,Douglas,US,2022-02-05 19:38:23,41.3,-96.167,55.0,28,0,11.01,clear sky
54,Tuktoyaktuk,CA,2022-02-05 19:38:23,69.4541,-133.0374,-32.8,68,20,10.36,few clouds
55,Jesenice,SI,2022-02-05 19:38:24,46.4306,14.0669,43.34,98,74,2.13,broken clouds
56,Geraldton,AU,2022-02-05 19:38:24,-28.7667,114.6,73.81,94,100,5.75,overcast clouds
57,Canavieiras,BR,2022-02-05 19:38:25,-15.675,-38.9472,78.87,79,53,7.25,heavy intensity rain
58,Dikson,RU,2022-02-05 19:38:25,73.5069,80.5464,-18.53,100,100,3.22,overcast clouds
59,Bethel,US,2022-02-05 19:37:52,41.3712,-73.414,27.3,68,40,1.99,scattered clouds
60,Christchurch,NZ,2022-02-05 19:35:19,-43.5333,172.6333,54.03,93,100,1.01,overcast clouds
61,Mackay,AU,2022-02-05 19:35:29,-21.15,149.2,73.69,83,43,9.22,scattered clouds
62,Hobart,AU,2022-02-05 19:35:23,-42.8794,147.3294,57.06,81,40,0.0,scattered clouds
63,Kushiro,JP,2022-02-05 19:38:26,42.975,144.3747,18.28,74,100,6.2,overcast clouds
64,Cidreira,BR,2022-02-05 19:38:26,-30.1811,-50.2056,75.0,90,100,4.92,moderate rain
65,Nome,US,2022-02-05 19:38:27,64.5011,-165.4064,-0.33,60,0,3.44,clear sky
66,Barrow,US,2022-02-05 19:38:28,71.2906,-156.7887,-14.78,70,75,12.66,haze
67,Tulun,RU,2022-02-05 19:38:28,54.5611,100.5792,22.53,75,100,9.08,overcast clouds
68,Hermanus,ZA,2022-02-05 19:35:23,-34.4187,19.2345,69.8,78,51,16.8,broken clouds
69,Shingu,JP,2022-02-05 19:38:29,33.7333,135.9833,38.91,63,68,12.06,broken clouds
70,Port Hardy,CA,2022-02-05 19:38:29,50.6996,-127.4199,44.76,87,75,4.61,broken clouds
71,Avera,US,2022-02-05 19:38:29,33.194,-82.5271,52.68,35,5,8.05,clear sky
72,Pingxiang,CN,2022-02-05 19:38:30,27.6167,113.85,40.6,88,97,2.95,overcast clouds
73,Touros,BR,2022-02-05 19:38:30,-5.1989,-35.4608,88.7,63,2,13.06,clear sky
74,Arraial Do Cabo,BR,2022-02-05 19:38:31,-22.9661,-42.0278,85.96,70,0,12.66,thunderstorm
75,Dhidhdhoo,MV,2022-02-05 19:38:31,6.8833,73.1,80.08,71,41,10.33,scattered clouds
76,Merauke,ID,2022-02-05 19:38:31,-8.4667,140.3333,79.59,88,100,10.92,overcast clouds
77,Vaini,TO,2022-02-05 19:36:33,-21.2,-175.2,77.16,94,100,8.05,light rain
78,Nicoya,CR,2022-02-05 19:38:32,10.1483,-85.452,89.15,26,6,16.31,clear sky
79,Taoudenni,ML,2022-02-05 19:37:52,22.6783,-3.9836,72.59,9,97,8.88,overcast clouds
80,Lebu,CL,2022-02-05 19:38:32,-37.6167,-73.65,63.77,70,0,19.55,clear sky
81,Coquimbo,CL,2022-02-05 19:38:33,-29.9533,-71.3436,69.53,68,20,16.11,few clouds
82,Andenes,NO,2022-02-05 19:38:33,69.3143,16.1194,33.78,86,75,27.63,light snow
83,Khuzhir,RU,2022-02-05 19:38:34,53.1939,107.3397,12.83,92,99,4.09,overcast clouds
84,Cabo San Lucas,MX,2022-02-05 19:34:03,22.8909,-109.9124,75.61,59,0,4.0,clear sky
85,Kahului,US,2022-02-05 19:38:34,20.8947,-156.47,78.96,75,20,6.91,few clouds
86,Port-Cartier,CA,2022-02-05 19:38:35,50.0334,-66.8654,12.74,73,38,6.96,scattered clouds
87,Caconda,AO,2022-02-05 19:38:35,-13.7333,15.0667,59.27,70,100,2.46,overcast clouds
88,Severo-Kurilsk,RU,2022-02-05 19:38:36,50.6789,156.125,28.09,92,100,4.45,light snow
89,Sao Joaquim,BR,2022-02-05 19:38:36,-28.2939,-49.9317,61.99,97,100,5.01,overcast clouds
90,Butaritari,KI,2022-02-05 19:37:01,3.0707,172.7902,82.56,71,49,19.24,scattered clouds
91,Hokitika,NZ,2022-02-05 19:38:37,-42.7167,170.9667,57.69,76,100,8.99,light rain
92,Alice Springs,AU,2022-02-05 19:37:58,-23.7,133.8833,58.55,88,0,4.61,clear sky
93,Caravelas,BR,2022-02-05 19:38:37,-17.7125,-39.2481,77.47,80,100,9.19,overcast clouds
94,Le Port,RE,2022-02-05 19:38:38,-20.9373,55.2919,82.4,87,100,18.1,moderate rain
95,Saint George,US,2022-02-05 19:35:52,37.1041,-113.5841,58.35,23,0,3.0,clear sky
96,Karratha,AU,2022-02-05 19:38:38,-20.7377,116.8463,84.09,72,100,7.87,overcast clouds
97,Aksarayskiy,RU,2022-02-05 19:38:39,46.7924,48.0119,31.98,79,98,15.39,overcast clouds
98,Nidzica,PL,2022-02-05 19:38:39,53.3605,20.4275,36.99,87,100,13.8,overcast clouds
99,Sungaipenuh,ID,2022-02-05 19:38:39,-2.0833,101.3833,63.97,100,100,3.02,overcast clouds
100,Ketchikan,US,2022-02-05 19:35:20,55.3422,-131.6461,44.58,87,100,13.8,light rain
101,Tashtyp,RU,2022-02-05 19:38:40,52.7939,89.8983,1.4,94,36,2.64,scattered clouds
102,Gotsu,JP,2022-02-05 19:38:41,35.0,132.2167,35.65,57,100,24.43,overcast clouds
103,Albany,US,2022-02-05 19:35:48,42.6001,-73.9662,20.84,60,4,1.99,clear sky
104,Liberty,US,2022-02-05 19:38:41,31.8335,-81.5004,56.05,49,0,1.01,clear sky
105,Esperance,AU,2022-02-05 19:38:41,-33.8667,121.9,64.24,70,5,17.27,clear sky
106,The Valley,AI,2022-02-05 19:38:42,18.217,-63.0578,80.46,83,75,13.8,broken clouds
107,Castro,BR,2022-02-05 19:35:22,-24.7911,-50.0119,72.97,89,36,7.49,scattered clouds
108,Georgetown,MY,2022-02-05 19:38:42,5.4112,100.3354,80.89,85,20,1.01,few clouds
109,Golden,US,2022-02-05 19:33:55,39.7555,-105.2211,51.21,29,75,24.0,broken clouds
110,Taywarah,AF,2022-02-05 19:38:43,33.35,64.4167,24.24,77,81,5.95,light snow
111,Fortuna,US,2022-02-05 19:38:43,40.5982,-124.1573,57.92,69,0,3.44,clear sky
112,Nikolskoye,RU,2022-02-05 19:38:44,59.7035,30.7861,27.88,95,100,9.04,light snow
113,Avarua,CK,2022-02-05 19:38:44,-21.2078,-159.775,80.65,78,100,14.97,light rain
114,Sapa,PH,2022-02-05 19:38:45,5.1544,120.3241,79.99,81,100,9.28,overcast clouds
115,Dolores,AR,2022-02-05 19:38:45,-36.3132,-57.6792,62.89,80,100,10.83,overcast clouds
116,Chuy,UY,2022-02-05 19:38:45,-33.6971,-53.4616,72.1,79,82,4.18,broken clouds
