City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
4,Kirakira,SB,81.84,overcast clouds,-10.4544,161.9205,SanBiz Lodge
5,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
7,Atuona,PF,78.96,clear sky,-9.8,-139.0333,Villa Enata
9,Carnarvon,AU,78.87,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
15,Rikitea,PF,78.93,overcast clouds,-23.1203,-134.9692,People ThankYou
17,Fayaoue,NC,82.04,scattered clouds,-20.65,166.5333,Chez Dydyce Guesthouse
21,Saint-Pierre,RE,82.08,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
22,Cabedelo,BR,86.67,clear sky,-6.9811,-34.8339,Hotel Pigalle
24,Bairiki,KI,82.4,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
26,Maldonado,UY,76.39,broken clouds,-34.6667,-54.9167,La Cimarrona
30,Bandrele,YT,83.95,broken clouds,-12.9067,45.1914,Les Baobabs
34,Visconde Do Rio Branco,BR,79.81,very heavy rain,-21.0103,-42.8406,Rio Branco palace hotel
45,Inirida,CO,82.27,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
46,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
50,Kavieng,PG,81.14,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
51,Santa Maria,BR,78.1,few clouds,-29.6842,-53.8069,Hotel Morotin
57,Canavieiras,BR,78.87,heavy intensity rain,-15.675,-38.9472,Bahiadomizil
64,Cidreira,BR,75.0,moderate rain,-30.1811,-50.2056,Hotel Castelo
73,Touros,BR,88.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
74,Arraial Do Cabo,BR,85.96,thunderstorm,-22.9661,-42.0278,Pousada Porto Praia
75,Dhidhdhoo,MV,80.08,scattered clouds,6.8833,73.1,Dhidhoo beach
77,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
78,Nicoya,CR,89.15,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
84,Cabo San Lucas,MX,75.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
85,Kahului,US,78.96,few clouds,20.8947,-156.47,Maui Seaside Hotel
90,Butaritari,KI,82.56,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
93,Caravelas,BR,77.47,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
94,Le Port,RE,82.4,moderate rain,-20.9373,55.2919,KORBEY D'OR OUEST
96,Karratha,AU,84.09,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
106,The Valley,AI,80.46,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
108,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
113,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
118,Puerto Escondido,MX,84.07,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
120,Isangel,VU,80.71,overcast clouds,-19.55,169.2667,Tanna Lodge
122,Salalah,OM,75.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
124,La Palma,US,75.16,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
127,Kailua,US,79.74,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
128,Bima,ID,77.05,overcast clouds,-8.4667,118.7167,Lambitu Hotel
131,Springbok,ZA,81.64,broken clouds,-29.6643,17.8865,Undulata Country Lodge
134,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
135,Dubai,AE,75.22,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
151,Luganville,VU,80.01,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
154,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
167,Kieta,PG,80.02,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
170,Saldanha,ZA,78.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
175,Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575,Casa Tia Villa
177,Tual,ID,83.14,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
178,Pontes E Lacerda,BR,85.21,overcast clouds,-15.2261,-59.3353,Hotel Bressan
179,Kralendijk,BQ,76.98,light intensity drizzle,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
180,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
181,Nova Lima,BR,80.94,moderate rain,-19.9856,-43.8467,Suite linda e ampla com bela vista
182,Nagapattinam,IN,76.51,broken clouds,10.7667,79.8333,Sathya Lodge
192,Benguela,AO,76.62,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
193,Noumea,NC,76.98,light rain,-22.2763,166.4572,Hôtel Le Lagon
194,San Juan Del Sur,NI,84.42,broken clouds,11.2529,-85.8705,Nuestra Casa
197,Monrovia,LR,82.17,clear sky,6.3005,-10.7969,Sunset Inn
202,Hilo,US,77.11,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
205,Bontang,ID,76.95,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
211,Mana,GF,80.02,moderate rain,5.6592,-53.7767,LE SAMANA
213,Kismayo,SO,78.17,broken clouds,-0.3582,42.5454,Agan-Hotel
214,Harper,LR,80.29,few clouds,4.375,-7.7169,Screensaver
215,Ternate,ID,79.9,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
216,Altagracia De Orituco,VE,85.84,scattered clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
217,Zemio,CF,76.59,overcast clouds,5.0314,25.1361,OCHA Office
218,Sabang,ID,81.27,overcast clouds,5.8933,95.3214,Hotel Citra
220,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
224,Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
225,Imperatriz,BR,87.85,broken clouds,-5.5264,-47.4917,Imperial Hotel
234,Oussouye,SN,87.98,clear sky,12.485,-16.5469,Auberge du Routard
235,Coahuayana,MX,89.08,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
243,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
254,Hithadhoo,MV,81.95,overcast clouds,-0.6,73.0833,Scoop Guest House
263,Faanui,PF,81.28,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
265,Kavaratti,IN,78.48,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
266,Lorengau,PG,80.62,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
269,Santa Isabel,BR,87.1,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
275,Souillac,MU,80.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
278,Oron,NG,79.81,broken clouds,4.8256,8.2343,Aqua Belloni Lodge
285,Sungairaya,ID,76.77,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
287,Apatou,GF,78.78,broken clouds,5.155,-54.3472,Yoto quensha
289,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
295,Pochutla,MX,87.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
300,Bani,DO,82.74,clear sky,18.2833,-70.3333,Hospedaje Henriquez
309,Neuquen,AR,75.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
