City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cacapava Do Sul,-30.5122,-53.4914,61.93,82,0,4.16,BR,2022-02-02 03:38:33
1,East London,-33.0153,27.9116,74.34,88,0,2.3,ZA,2022-02-02 03:35:19
2,Yellowknife,62.456,-114.3525,-29.58,87,0,4.61,CA,2022-02-02 03:36:20
3,Harper,4.375,-7.7169,77.79,82,100,2.46,LR,2022-02-02 03:38:34
4,Yumen,40.2833,97.2,23.95,25,9,9.24,CN,2022-02-02 03:38:34
5,Tiarei,-17.5333,-149.3333,87.82,77,4,20.38,PF,2022-02-02 03:38:35
6,Salalah,17.0151,54.0924,66.29,48,0,3.44,OM,2022-02-02 03:38:35
7,Khatanga,71.9667,102.5,-38.16,99,32,1.74,RU,2022-02-02 03:38:36
8,Rikitea,-23.1203,-134.9692,78.39,69,93,4.9,PF,2022-02-02 03:38:36
9,Busselton,-33.65,115.3333,81.05,33,37,11.01,AU,2022-02-02 03:38:36
10,Rio Branco,-9.9747,-67.81,72.21,100,40,0.0,BR,2022-02-02 03:38:37
11,Saskylakh,71.9167,114.0833,-28.35,100,47,1.99,RU,2022-02-02 03:38:37
12,Upernavik,72.7868,-56.1549,-13.4,72,100,5.26,GL,2022-02-02 03:38:37
13,Jega,12.2175,4.3792,61.68,17,84,9.04,NG,2022-02-02 03:38:38
14,Srednebelaya,50.6594,128.0106,5.18,77,10,9.51,RU,2022-02-02 03:38:38
15,Saint-Joseph,-21.3667,55.6167,79.16,94,100,24.54,RE,2022-02-02 03:38:38
16,Hami,42.8,93.45,25.88,26,100,0.85,CN,2022-02-02 03:38:39
17,Atuona,-9.8,-139.0333,78.62,78,7,17.36,PF,2022-02-02 03:35:25
18,Aklavik,68.2191,-135.0107,-15.77,100,97,3.85,CA,2022-02-02 03:38:39
19,Port Elizabeth,-33.918,25.5701,73.09,88,0,3.44,ZA,2022-02-02 03:38:40
20,Pauini,-7.7136,-66.9764,72.9,98,100,1.32,BR,2022-02-02 03:38:40
21,Udachnyy,66.4167,112.4,-29.38,100,71,1.34,RU,2022-02-02 03:38:40
22,Port Alfred,-33.5906,26.891,77.36,74,98,7.54,ZA,2022-02-02 03:38:41
23,Bubaque,11.2833,-15.8333,77.7,75,1,1.66,GW,2022-02-02 03:38:41
24,Yar-Sale,66.8333,70.8333,-15.41,99,46,7.76,RU,2022-02-02 03:38:41
25,Ahipara,-35.1667,173.1667,75.2,65,100,14.38,NZ,2022-02-02 03:38:42
26,Ancud,-41.8697,-73.8203,59.23,93,100,2.62,CL,2022-02-02 03:38:42
27,Georgetown,5.4112,100.3354,88.9,72,20,3.0,MY,2022-02-02 03:38:43
28,Whitehorse,60.7161,-135.0538,-1.98,67,100,17.0,CA,2022-02-02 03:38:43
29,Qaanaaq,77.484,-69.3632,-21.24,65,100,10.63,GL,2022-02-02 03:38:43
30,Sulangan,11.1373,123.7228,81.09,75,47,10.45,PH,2022-02-02 03:38:44
31,Lavrentiya,65.5833,-171.0,-1.64,84,1,13.82,RU,2022-02-02 03:38:44
32,Sabang,5.8933,95.3214,81.7,72,16,9.37,ID,2022-02-02 03:38:44
33,Pyaozerskiy,65.8333,31.1667,11.66,94,100,7.92,RU,2022-02-02 03:38:45
34,Saint-Augustin,51.226,-58.6502,-18.98,94,9,5.97,CA,2022-02-02 03:38:45
35,Ushuaia,-54.8,-68.3,42.46,70,40,33.38,AR,2022-02-02 03:37:35
36,Cochabamba,-17.3895,-66.1568,55.15,100,100,0.0,BO,2022-02-02 03:38:46
37,Puerto Ayora,-0.7393,-90.3518,73.54,96,100,5.01,EC,2022-02-02 03:38:46
38,Muisne,0.6,-80.0333,76.35,83,86,1.52,EC,2022-02-02 03:38:46
39,Faanui,-16.4833,-151.75,81.16,76,10,20.2,PF,2022-02-02 03:38:47
40,Rapid Valley,44.0625,-103.1463,12.33,56,40,1.01,US,2022-02-02 03:38:47
41,Kapaa,22.0752,-159.319,77.11,71,0,3.0,US,2022-02-02 03:38:47
42,Vaini,-21.2,-175.2,84.36,79,75,8.05,TO,2022-02-02 03:35:27
43,Souillac,-20.5167,57.5167,81.36,89,75,26.46,MU,2022-02-02 03:38:48
44,Mataura,-46.1927,168.8643,70.48,48,94,9.62,NZ,2022-02-02 03:38:48
45,Mahebourg,-20.4081,57.7,81.25,89,75,26.46,MU,2022-02-02 03:38:49
46,Zaysan,47.4667,84.8667,6.1,91,44,1.81,KZ,2022-02-02 03:38:49
47,Arlit,18.7369,7.3853,58.19,17,49,7.31,NE,2022-02-02 03:39:49
48,Flin Flon,54.7682,-101.865,-11.16,88,100,11.18,CA,2022-02-02 03:36:50
49,Ponta Delgada,37.7333,-25.6667,56.5,82,20,4.61,PT,2022-02-02 03:39:50
50,Bredasdorp,-34.5322,20.0403,70.92,88,20,3.44,ZA,2022-02-02 03:39:50
51,Cape Town,-33.9258,18.4232,68.41,81,75,1.01,ZA,2022-02-02 03:37:51
52,Boffa,10.1667,-14.0333,72.5,90,11,2.55,GN,2022-02-02 03:39:51
53,Kimbe,-5.5502,150.1429,79.63,83,100,6.82,PG,2022-02-02 03:39:51
54,Aguimes,27.9054,-15.4461,69.66,34,20,4.61,ES,2022-02-02 03:39:52
55,Asosa,10.0667,34.5333,60.35,31,42,5.35,ET,2022-02-02 03:39:52
56,Barrow,71.2906,-156.7887,-16.58,69,75,9.22,US,2022-02-02 03:39:53
57,Chuy,-33.6971,-53.4616,61.5,79,0,6.51,UY,2022-02-02 03:39:53
58,Thompson,55.7435,-97.8558,-23.64,69,0,6.91,CA,2022-02-02 03:39:53
59,Kavieng,-2.5744,150.7967,82.78,70,100,7.38,PG,2022-02-02 03:39:54
60,Avarua,-21.2078,-159.775,82.45,78,40,11.5,CK,2022-02-02 03:39:54
61,Hilo,19.7297,-155.09,74.93,84,0,0.0,US,2022-02-02 03:38:47
